"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Abington Hospital - Jefferson Health (FKA Abington Memorial Hospital)","Abington Hospital - Jefferson Health (FKA Abington Memorial Hospital)","20200508","grant","$20,006,366","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Pennsylvania","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Abraham Operations Associates Llc","Abraham Operations Associates Llc","20200506","grant","$1,097,190","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Absolut Center For Nursing And Rehabilitation At Aurora Park","Absolut Center For Nursing And Rehabilitation At Aurora Park","20200506","grant","$601,187","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acadia Healthcare Company, Inc.","Acadia Healthcare","20200504","loan","$0","$45,000,000","Centers for Medicare and Medicaid Services","Medicare Accelerated and Advance Payment Program","","https://www.sec.gov/Archives/edgar/data/1520697/000115752320000644/a52214371ex99.htm",""," ","","","publicly traded","ACHC","Tennessee","USA","healthcare services","for-profit behavioral health services","42800","0","88337","","500000","26250000","11000","0","287 to 1","$7,719,813","$26,881","0"
"Acadia Healthcare Company, Inc.","Acadia Healthcare","20200505","grant","$20,000,000","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://www.sec.gov/ix?doc=/Archives/edgar/data/1520697/000156459020021269/achc-10q_20200331.htm",""," ","","","publicly traded","ACHC","Tennessee","USA","healthcare services","for-profit behavioral health services","42800","0","88337","","500000","26250000","11000","0","287 to 1","$7,719,813","$26,881","0"
"Acadian Ambulance Service Inc","Acadian Ambulance Service Inc","20200506","grant","$3,433,196","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Mississippi","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acadian Ambulance Service Of Texas Llc","Acadian Ambulance Service Of Texas Llc","20200506","grant","$1,799,174","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acadia-St. Landry Hospital Service District","Acadia-St. Landry Hospital Service District","20200506","grant","$737,296","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc.","20200414","loan","$0","$4,780,600","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/ix?doc=/Archives/edgar/data/727207/000110465920048705/tm2016261d1_8k.htm",""," ","","","publicly traded","AXDX","Arizona","USA","healthcare services","in vitro diagnostics","275","0","0","","0","0","0","0","12.9 to 1","$2,068,795","$160,500","0"
"Accelerated Rehabilitation Centers Ltd","Accelerated Rehabilitation Centers Ltd","20200506","grant","$1,094,301","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Access Community Health Network","Access Community Health Network","20200506","grant","$1,239,760","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Access Health Care Physicians Llc","Access Health Care Physicians Llc","20200506","grant","$1,212,200","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acclaim Physician Group Inc","Acclaim Physician Group Inc","20200506","grant","$530,309","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Accu Reference Medical Lab Llc","Accu Reference Medical Lab Llc","20200506","grant","$1,390,924","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Accurate Diagnostics Labs","Accurate Diagnostics Labs","20200506","grant","$1,051,044","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Accurate Healthcare","Accurate Healthcare","20200506","grant","$534,965","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ackerman Cancer Center Pa","Ackerman Cancer Center Pa","20200506","grant","$754,369","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ACORN ENERGY, INC.","ACORN ENERGY, INC.","20200430","loan","$0","$419,800","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/880984/000149315220007650/form8-k.htm",""," ","","","publicly traded","","Delaware","USA","miscellaneous energy products and systems","energy products","23","0","0","","0","0","0","0","","$268,800","$0","0"
"Lifted Liquids, Inc. d/b/a Lifted Made","Acquired Sales Corp.","20200422","grant","$10,000","$0","Small Business Administration","Economic Injury Disaster Loan Emergency Advance","","https://www.sec.gov/Archives/edgar/data/1391135/000144586620000445/aqsp_8ka.htm",""," ","","","publicly traded","AQSP","Illinois","USA","household and personal care products","cannabinoid-infused products","16","0","0","","0","0","0","0","","$220,000","$0","0"
"Lifted Liquids, Inc. d/b/a Lifted Made","Acquired Sales Corp.","20200414","loan","$0","$149,622","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1391135/000144586620000442/aqsp_8k.htm",""," ","","","publicly traded","AQSP","Illinois","USA","household and personal care products","cannabinoid-infused products","16","0","0","","0","0","0","0","","$220,000","$0","0"
"Acts Retirement-Life Communities Inc","Acts Retirement-Life Communities Inc","20200506","grant","$1,354,348","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acuity Hospital Of New Jersey","Acuity Hospital Of New Jersey","20200506","grant","$1,124,283","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acuity Specialty Hospital Ohio Valley Lp","Acuity Specialty Hospital Ohio Valley Lp","20200506","grant","$929,172","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Aculabs Inc","Aculabs Inc","20200506","grant","$613,396","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Acutecare Health System","Acutecare Health System","20200506","grant","$1,382,649","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ad Hospital East Llc","Ad Hospital East Llc","20200506","grant","$676,875","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adair County Health Center Inc","Adair County Health Center Inc","20200506","grant","$535,650","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adamis Pharmaceuticals Corporation","Adamis Pharmaceuticals Corporation","20200413","loan","$0","$3,191,700","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/887247/000138713120003918/admp-8k_041320.htm",""," ","","","publicly traded","ADMP","California","USA","pharmaceuticals","biopharmaceuticals","131","0","0","","0","0","0","0","","$1,504,734","$0","0"
"Adams County Memorial Hospital","Adams County Memorial Hospital","20200506","grant","$5,439,075","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adams County Regional Medical Center","Adams County Regional Medical Center","20200506","grant","$529,738","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adapthealth Patient Care Solutions Inc.","Adapthealth Patient Care Solutions Inc.","20200506","grant","$1,974,231","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adara Home Health","Adara Home Health","20200506","grant","$611,207","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Minnesota","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adcare Hospital Of Worcester","Adcare Hospital Of Worcester","20200506","grant","$1,785,534","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc.","20200410","loan","$0","$2,915,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/874292/000144526020000043/04242020-8k.htm",""," ","","","publicly traded","AEY","Texas","USA","telecommunications","wireless infrastructure services","188","0","0","","0","0","0","0","","$416,038","$0","0"
"Adena Health System","Adena Health System","20200506","grant","$7,993,863","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adena Medical Group Llc","Adena Medical Group Llc","20200506","grant","$1,052,519","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adirondack Medical Center","Adirondack Medical Center","20200506","grant","$2,072,890","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ADM Tronics Unlimited, Inc.","ADM Tronics Unlimited, Inc.","20200505","loan","$0","$381,111","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/849401/000143774920010282/admt20200511_8k.htm",""," ","","","publicly traded","ADMT","New Jersey","USA","electrical and electronic equipment","medical electronics","30","0","0","","0","0","0","0","","$165,022","$0","0"
"Admera Health Llc","Admera Health Llc","20200506","grant","$564,719","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Administrators Of The Tulane Educational Fund","Administrators Of The Tulane Educational Fund","20200506","grant","$898,683","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ADOMANI, Inc.","ADOMANI, Inc.","20200506","loan","$0","$261,244","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1563568/000156459020023595/adom-8k_20200503.htm",""," ","","","publicly traded","ADOM","California","USA","motor vehicles","electric vehicle","11","0","0","","0","0","0","0","","$374,911","$0","0"
"Chamberlain University","Adtalem Global Education","20200409","grant","$4,003,664","$0","Education Department","Higher Education Emergency Relief Fund (for-profits only)","Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf",""," ","","","publicly traded","ATGE","Illinois","USA","miscellaneous services","educational services","9056","0","0","","4156277","0","0","0","70 to 1","$2,373,194","$33,781","0"
"Advanced Cardiac & Vascular Centers For Amputation Prevention Plc","Advanced Cardiac & Vascular Centers For Amputation Prevention Plc","20200506","grant","$726,632","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Cardiovascular Specialists","Advanced Cardiovascular Specialists","20200506","grant","$780,127","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Diagnostic Imaging","Advanced Diagnostic Imaging","20200506","grant","$2,824,502","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions","20200421","loan","$0","$3,300,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1515156/000151515620000042/a8-kitem101901sbaloancovid.htm",""," ","","","publicly traded","ADES","Colorado","USA","waste management and environmental services","pollution control technologies","133","0","0","","19959975","0","0","500000","","$1,600,702","$0","0"
"Advanced Heart Care Pa","Advanced Heart Care Pa","20200506","grant","$525,501","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Orthopedic Center Of Charlotte County","Advanced Orthopedic Center Of Charlotte County","20200506","grant","$633,404","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Pain Diagnostic & Solutions","Advanced Pain Diagnostic & Solutions","20200506","grant","$177,345","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","860000","0","0","","$0","$0","0"
"Advanced Pain Management Specialists Llc","Advanced Pain Management Specialists Llc","20200506","grant","$926,922","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
